Ticker,close,date,high,low,month,open,volume,filename,stockyear,stockmonth,yearly_return,monthly_return,daily_return,cumulative_return,volatility,Company,Sector
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899,2023-10-03_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.0,0.0,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377,2023-10-04_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.032547911,0.032547911,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2466.35,2023-10-05 05:30:00,2486.5,2446.4,2023-10,2477.95,1132455,2023-10-05_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.000567963,0.03313436,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2478.1,2023-10-06 05:30:00,2514.95,2466.05,2023-10,2466.35,1510035,2023-10-06_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.004764125,0.038056341,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2442.6,2023-10-09 05:30:00,2459.7,2411.3,2023-10,2440.0,1408224,2023-10-09_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.014325491,0.023185674,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2498.3,2023-10-10 05:30:00,2517.95,2443.0,2023-10,2443.0,1771910,2023-10-10_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.02280357,0.046517961,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,2023-10,2533.9,1627836,2023-10-11_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.00388264,0.042454708,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,2023-10,2499.9,1804818,2023-10-12_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.007132524,0.049890041,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,2023-10,2488.9,2278682,2023-10-13_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.020667505,0.028191434,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2429.35,2023-10-16 05:30:00,2464.7,2421.85,2023-10,2454.55,803856,2023-10-16_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.010266648,0.017635354,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2428.4,2023-10-17 05:30:00,2462.0,2423.5,2023-10,2459.95,707543,2023-10-17_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.000391051,0.017237407,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2406.35,2023-10-18 05:30:00,2441.75,2401.05,2023-10,2440.0,776977,2023-10-18_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.009080053,0.008000837,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2402.2,2023-10-19 05:30:00,2414.7,2382.55,2023-10,2400.0,1168822,2023-10-19_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.001724604,0.006262435,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2393.75,2023-10-20 05:30:00,2443.95,2382.05,2023-10,2398.05,1240350,2023-10-20_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.003517609,0.002722797,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2308.65,2023-10-23 05:30:00,2412.35,2301.8,2023-10,2397.8,1483549,2023-10-23_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.035550914,-0.032924915,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2257.0,2023-10-25 05:30:00,2348.05,2235.3,2023-10,2320.0,1540819,2023-10-25_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.022372382,-0.054560688,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2203.2,2023-10-26 05:30:00,2249.0,2167.05,2023-10,2249.0,2226073,2023-10-26_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.023836952,-0.077097079,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2261.7,2023-10-27 05:30:00,2275.0,2212.0,2023-10,2222.0,1244293,2023-10-27_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.026552288,-0.052591895,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2299.1,2023-10-30 05:30:00,2305.0,2250.0,2023-10,2260.05,996448,2023-10-30_05-30-00.yaml,2023,10,0.193402451,-0.038789402,0.016536234,-0.036925333,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2294.65,2023-10-31 05:30:00,2320.0,2276.0,2023-10,2320.0,1155280,2023-10-31_05-30-00.yaml,2023,10,0.193402451,-0.038789402,-0.00193554,-0.038789403,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2217.3,2023-11-01 05:30:00,2312.25,2207.0,2023-11,2299.0,1666579,2023-11-01_05-30-00.yaml,2023,11,0.193402451,0.063703603,-0.033708844,-0.071190701,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2215.3,2023-11-02 05:30:00,2297.95,2204.2,2023-11,2247.0,2340997,2023-11-02_05-30-00.yaml,2023,11,0.193402451,0.063703603,-0.000901998,-0.072028485,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2229.85,2023-11-03 05:30:00,2279.0,2215.0,2023-11,2215.3,1853300,2023-11-03_05-30-00.yaml,2023,11,0.193402451,0.063703603,0.006567959,-0.065933606,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2246.0,2023-11-06 05:30:00,2260.0,2233.0,2023-11,2253.95,770061,2023-11-06_05-30-00.yaml,2023,11,0.193402451,0.063703603,0.00724264,-0.059168499,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2233.35,2023-11-07 05:30:00,2260.0,2226.65,2023-11,2257.0,641554,2023-11-07_05-30-00.yaml,2023,11,0.193402451,0.063703603,-0.005632235,-0.064467484,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2259.95,2023-11-08 05:30:00,2298.0,2235.0,2023-11,2245.3,1169180,2023-11-08_05-30-00.yaml,2023,11,0.193402451,0.063703603,0.011910359,-0.053324955,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2214.65,2023-11-09 05:30:00,2272.6,2210.1,2023-11,2269.0,1267890,2023-11-09_05-30-00.yaml,2023,11,0.193402451,0.063703603,-0.020044691,-0.072300764,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2205.1,2023-11-10 05:30:00,2237.0,2198.5,2023-11,2220.25,1072597,2023-11-10_05-30-00.yaml,2023,11,0.193402451,0.063703603,-0.004312194,-0.076301183,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2211.35,2023-11-12 05:30:00,2226.0,2205.1,2023-11,2219.7,148320,2023-11-12_05-30-00.yaml,2023,11,0.193402451,0.063703603,0.002834339,-0.073683108,0.028600524,ADANI ENTERPRISES LTD,TRADING 
ADANIENT,2213.65,2023-11-13 05:30:00,2241.9,2195.55,2023-11,2215.5,853633,2023-11-13_05-30-00.yaml,2023,11,0.193402451,0.063703603,0.001040089,-0.072719656,0.028600524,ADANI ENTERPRISES LTD,TRADING 
